ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
17012541,"01/26/2017, 4:40:00 pm","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,400 Block HAYS MILL ROAD,AGGRAVATED ASSAULT,Assault ,AGGRAVATED ASSAULT
17012527,"01/26/2017, 9:02:00 am","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,1100 Block N NORTH PARK STREET,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
17012523,"01/26/2017, 7:25:00 am","07/28/2017, 5:02:07 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,ARMED ROBBERY,Robbery,ARMED ROBBERY
17012519,"01/23/2017, 10:45:00 am","07/25/2017, 5:02:14 pm",CARROLLTON,GA,30117,BRADLEY STREET AT LEE STREET,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17012498,"01/26/2017, 2:00:00 am","07/27/2017, 5:02:29 pm",CARROLLTON,GA,30117,800 Block SOUTH PARK STREET,SIMPLE ASSAULT,Assault ,SIMPLE ASSAULT
17012496,"01/26/2017, 1:00:00 am","07/27/2017, 5:02:29 pm",CARROLLTON,GA,30117,100 Block MAPLE CROSSING,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17012492,"01/25/2017, 3:00:00 pm","07/27/2017, 5:02:29 pm",CARROLLTON,GA,30117,200 Block NORTHWINDS BOULEVARD E3,THEFT BY TAKING,Theft,THEFT BY TAKING
17012488,"01/25/2017, 9:00:00 pm","07/27/2017, 5:02:29 pm",CARROLLTON,GA,30117,900 Block ALABAMA STREET,FORGERY 1ST DEGREE,Other ,FORGERY 1ST DEGREE
17012459,"01/21/2017, 3:19:00 am","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,THEFT BY SHOPLIFTING,Theft,THEFT BY SHOPLIFTING
17012437,"01/25/2017, 6:04:00 am","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30116,100 Block CENTENNIAL DRIVE,THEFT BY RECEIVING STOLEN PROPERTY,Theft,THEFT BY RECEIVING STOLEN PROPERTY
17012435,"01/25/2017, 6:43:00 am","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30117,200 Block COLUMBIA DRIVE,POSSESSION OF MARIJUANA LESS THAN 1 OZ,Quality of Life,POSSESSION OF MARIJUANA LESS THAN 1 OZ
17012424,"01/25/2017, 12:00:00 am","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,Other,Other ,
17012404,"01/25/2017, 1:35:00 am","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30117,100 Block NEWNAN ROAD,THEFT BY SHOPLIFTING,Theft,THEFT BY SHOPLIFTING
17012384,"01/20/2017, 8:00:00 pm","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,1100 Block ALABAMA STREET,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
17012361,"01/24/2017, 5:38:00 pm","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30117,1300 Block SOUTH PARK STREET,RECKLESS CONDUCT,Traffic,RECKLESS CONDUCT
17012382,"01/24/2017, 11:03:00 pm","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30117,200 Block SOUTH STREET,SIMPLE BATTERY,Assault ,SIMPLE BATTERY
17012351,"01/24/2017, 3:00:00 pm","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30116,200 Block TURTLE COVE,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17012206,"01/24/2017, 7:21:00 am","07/26/2017, 5:03:47 pm",CARROLLTON,GA,30116,100 Block CENTENNIAL ROAD ROOM,CRIMINAL TRESPASS (FAMILY VIOLENCE),Property Crime ,CRIMINAL TRESPASS (FAMILY VIOLENCE)
17012159,"01/24/2017, 2:01:00 am","07/25/2017, 5:02:14 pm",CARROLLTON,GA,30117,900 Block LOVVORN ROAD,CRIMINAL TRESPASS (FAMILY VIOLENCE),Property Crime ,CRIMINAL TRESPASS (FAMILY VIOLENCE)
17012116,"01/22/2017, 7:33:00 am","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,1 Block HORSLEY MILL ROAD,BATTERY,Assault ,BATTERY
17012111,"01/21/2017, 3:00:00 pm","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30116,1600 Block BANKHEAD HIGHWAY,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17012103,"01/23/2017, 12:00:00 am","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,400 Block NEWNAN ROAD,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
17012109,"01/22/2017, 6:00:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,400 Block NEWNAN ROAD,ENTERING AUTO,Theft from Vehicle,ENTERING AUTO
17012106,"01/19/2017, 3:30:00 pm","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,200 Block NORTH WHITE STREET,THEFT BY DECEPTION,Theft,THEFT BY DECEPTION
17012084,"01/23/2017, 1:37:00 pm","07/25/2017, 5:02:14 pm",CARROLLTON,GA,30117,900 Block ROME STREET,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
17012066,"01/23/2017, 8:30:00 am","07/25/2017, 5:02:14 pm",CARROLLTON,GA,30117,400 Block B BURSON AVENUE,CRIMINAL TRESPASS (FAMILY VIOLENCE),Property Crime ,CRIMINAL TRESPASS (FAMILY VIOLENCE)
17012051,"01/22/2017, 12:00:00 am","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,LOVVORN ROAD,ENTERING AUTO,Theft from Vehicle,ENTERING AUTO
17012040,"01/23/2017, 3:20:00 am","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,BATTERY,Assault ,BATTERY
17012018,"01/22/2017, 11:55:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,500 Block COLUMBIA DRIVE,CRIMINAL TRESPASS (FAMILY VIOLENCE),Property Crime ,CRIMINAL TRESPASS (FAMILY VIOLENCE)
17012016,"01/22/2017, 10:17:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STEET,FORGERY 1ST DEGREE,Other ,FORGERY 1ST DEGREE
17012012,"01/22/2017, 9:41:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,THEFT BY SHOPLIFTING,Theft,THEFT BY SHOPLIFTING
17012010,"01/22/2017, 9:10:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,1100 Block NORTH PARK STREET,FORGERY 1ST DEGREE,Other ,FORGERY 1ST DEGREE
17012003,"01/22/2017, 7:09:00 pm","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,400 Block BURSON AVENUE,SIMPLE ASSAULT,Assault ,SIMPLE ASSAULT
17011901,"01/21/2017, 3:30:00 am","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30116,200 Block STONECREST,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
17011909,"01/21/2017, 10:55:00 pm","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,100 Block PARK LANE,BATTERY,Assault ,BATTERY
17011969,"01/22/2017, 6:46:00 am","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET SUITE 5,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
